,Name,Games Played,Points,Age,Birth_Place,Birthdate,Collage,Experience,Height,Position,Team,Weight,BMI
58,Bryce Cotton,15,80,23.0,us,1992,Providence College,R,182.5,PG,UTA,74.25,22.29311315
59,C.J. Watson,57,570,31.0,us,1984,University of Tennessee,7,185.0,PG,IND,78.75,23.00949598
60,Cameron Bairstow,18,10,25.0,au,1990,University of New Mexico,R,202.5,PF,CHI,112.5,27.43484225
61,Carl Landry,70,503,32.0,us,1983,Purdue University,7,202.5,PF,SAC,111.6,27.21536351
62,Carlos Boozer,71,836,34.0,de,1981,Duke University,12,202.5,PF,LAL,116.1,28.3127572
63,Carmelo Anthony,40,966,31.0,us,1984,Syracuse University,11,200.0,SF,NYK,108.0,27.0
64,Caron Butler,78,460,35.0,us,1980,University of Connecticut,12,197.5,SF,DET,102.6,26.30347701
65,Cartier Martin,23,36,31.0,us,1984,Kansas State University,6,197.5,SF,DET,99.0,25.38054799
66,Chandler Parsons,66,1037,27.0,us,1988,University of Florida,3,205.0,SF,DAL,103.5,24.6281975
67,Channing Frye,75,549,32.0,us,1983,University of Arizona,8,207.5,PF,ORL,114.75,26.65118305
69,Chase Budinger,67,457,27.0,us,1988,University of Arizona,5,197.5,SF,MIN,94.05,24.11152059
70,Chris Andersen,60,320,37.0,us,1978,Blinn College,12,205.0,C,MIA,110.25,26.2343843
71,Chris Bosh,44,928,31.0,us,1984,Georgia Institute of Technology,11,207.5,C,MIA,105.75,24.56089418
72,Chris Copeland,50,309,31.0,us,1984,University of Colorado,2,202.5,SF,IND,107.55,26.22770919
73,Chris Douglas-Roberts,12,19,28.0,us,1987,University of Memphis,5,197.5,SG,LAC,90.0,23.07322544
74,Chris Johnson,29,166,25.0,us,1990,University of Dayton,2,195.0,SF,PHI,92.7,24.37869822
75,Chris Kaman,74,638,33.0,us,1982,Central Michigan University,11,210.0,C,POR,119.25,27.04081633
76,Chris Paul,82,1564,30.0,us,1985,Wake Forest University,9,180.0,PG,LAC,78.75,24.30555556
77,Chuck Hayes,29,50,32.0,us,1983,University of Kentucky,9,195.0,C,TOR,108.0,28.40236686
78,CJ McCollum,62,424,24.0,us,1991,Lehigh University,1,190.0,SG,POR,90.0,24.93074792
81,Cleanthony Early,39,210,24.0,us,1991,Wichita State University,R,200.0,SF,NYK,94.5,23.625
84,Cole Aldrich,61,338,27.0,us,1988,University of Kansas,4,207.5,C,NYK,112.5,26.12861083
85,Corey Brewer,80,917,29.0,us,1986,University of Florida,7,202.5,SF,MIN,83.7,20.41152263
86,Cory Jefferson,50,183,25.0,us,1990,Baylor University,R,202.5,PF,NJN,98.1,23.92318244
87,Cory Joseph,79,535,24.0,ca,1991,University of Texas at Austin,3,187.5,PG,SAS,86.85,24.704
88,Courtney Lee,77,777,30.0,us,1985,Western Kentucky University,6,192.5,SG,MEM,90.0,24.28740091
89,D.J. Augustin,82,777,28.0,us,1987,University of Texas at Austin,6,180.0,PG,OKC,82.35,25.41666667
90,Dahntay Jones,33,21,35.0,us,1980,Duke University,10,195.0,SF,LAC,101.25,26.62721893
91,Damian Lillard,82,1720,25.0,us,1990,Weber State University,2,187.5,PG,POR,87.75,24.96
94,Danny Granger,30,188,32.0,us,1983,University of New Mexico,9,202.5,SF,MIA,99.9,24.36213992
95,Danny Green,81,946,28.0,us,1987,University of North Carolina,5,195.0,SG,SAS,96.75,25.44378698
96,Dante Cunningham,66,340,28.0,us,1987,Villanova University,5,200.0,PF,NOH,103.5,25.875
98,Darius Miller,5,2,25.0,us,1990,University of Kentucky,2,200.0,SF,NOH,105.75,26.4375
99,Darius Morris,38,83,24.0,us,1991,University of Michigan,3,190.0,PG,NJN,85.5,23.68421053
100,Darrell Arthur,58,382,27.0,us,1988,University of Kansas,5,202.5,PF,DEN,105.75,25.78875171
101,Darren Collison,45,725,28.0,us,1987,"University of California, Los Angeles",5,180.0,PG,SAC,78.75,24.30555556
102,David Lee,49,388,32.0,us,1983,University of Florida,9,202.5,PF,GSW,110.25,26.886145399999997
103,David Stockton,3,8,24.0,us,1991,Gonzaga University,R,177.5,PG,SAC,74.25,23.56675263
105,David West,66,769,35.0,us,1980,Xavier University,11,202.5,PF,IND,112.5,27.43484225
106,DeAndre Jordan,82,946,27.0,us,1988,Texas A&M University,6,207.5,C,LAC,119.25,27.69632748
107,DeJuan Blair,29,56,26.0,us,1989,University of Pittsburgh,5,197.5,PF,WAS,121.5,31.14885435
108,DeMar DeRozan,60,1204,26.0,us,1989,University of Southern California,5,197.5,SG,TOR,99.45,25.49591412
109,DeMarcus Cousins,59,1421,25.0,us,1990,University of Kentucky,4,207.5,C,SAC,121.5,28.218899699999998
110,DeMarre Carroll,70,883,29.0,us,1986,University of Missouri,5,200.0,SF,ATL,96.75,24.1875
113,Derrick Favors,74,1187,24.0,us,1991,Georgia Institute of Technology,4,205.0,PF,UTA,119.25,28.37596669
114,Derrick Rose,51,904,27.0,us,1988,University of Memphis,5,187.5,PG,CHI,85.5,24.32
116,Devin Harris,76,665,32.0,us,1983,University of Wisconsin,10,187.5,PG,DAL,86.4,24.576
117,Devyn Marble,16,37,23.0,us,1992,University of Iowa,R,195.0,SG,ORL,90.0,23.66863905
118,Dewayne Dedmon,59,216,26.0,us,1989,University of Southern California,1,210.0,C,ORL,110.25,25.0
121,Donald Sloan,53,391,27.0,us,1988,Texas A&M University,3,187.5,PG,IND,92.25,26.24
124,Doug McDermott,36,109,23.0,us,1992,Creighton University,R,200.0,SF,CHI,101.25,25.3125
125,Draymond Green,79,921,25.0,us,1990,Michigan State University,2,197.5,PF,GSW,103.5,26.53420926
